id,nama,kategori,zona,strategi,claim_rating,claim_reviews,actual_rating,actual_reviews,kota_maps,alamat_maps,verdict,flags
52,Cipendawa Motor lll,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.5,510,4.5,209,Sukabumi Kota,"Jl. Pelabuhan II No.272A, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",REVIEW_OFF,REVIEW_CLAIM_510_AKTUAL_209
53,Buana Raya Service - Auto Service Center,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.6,720,4.6,139,Sukabumi Kota,"Jl. Pajagalan No.29, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_720_AKTUAL_139
54,Central Carwash Sukabumi,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.6,355,4.6,45,Sukabumi Kota,"3WHM+5M4, Jl. Gudang, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_355_AKTUAL_45
55,Ratu Motor,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.6,285,4.6,77,Sukabumi Kota,"Jl. Otto Iskandardinata No.31, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43112",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_285_AKTUAL_77
56,CV.KINGKING MOTOR,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.6,310,4.6,692,Sukabumi Kota,"Jl. R.A. Kosasih No.23, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43112",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_310_AKTUAL_692
57,SHOWNGARAGE ( CAR WASH ),Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.7,245,4.7,69,Sukabumi Kab,"Jl. Raya Sukaraja, Sukaraja, Kec. Sukaraja, Kabupaten Sukabumi, Jawa Barat 43192",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_245_AKTUAL_69
58,CV ZIED AUTO SERVICE,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.8,415,4.8,114,Sukabumi Kota,"Jl. Ciseureuh Jalan No.67 rt02, RW.01, Karang Tengah, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43122",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_415_AKTUAL_114
59,Bengkel motor sukabumi,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.8,210,4.3,106,Lainnya/Tidak jelas,Bengkel Sepeda Motor ·  · Jl. Otto Iskandardinata No.9,LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|RATING_CLAIM_4.8_AKTUAL_4.3|GENERIC_QUERY_RESULT
60,Toko Jati Raya Motor,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.8,340,4.8,31,Sukabumi Kota,"JL. R. A Kosasih, No.59, Cisarua, Kab. Sukabumi, Kota Sukabumi, Jawa Barat 43115",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_340_AKTUAL_31
61,Green_wash Cuci Mobil & Motor,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.9,275,4.9,101,Sukabumi Kota,"Jl. Pelabuhan II Jl. Begeg, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_275_AKTUAL_101
62,RBM (RumahBengkelMotor),Automotive,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,85,5,27,Sukabumi Kota,"3W47+XQ6, Jl. Koleberes, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_85_AKTUAL_27
63,AH MASTER WASH (cuci garansi hujan),Automotive,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,42,5,20,Sukabumi Kota,"3WH9+MPC, Jl. Arif Rahman Hakim, Benteng, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43132",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_42_AKTUAL_20
64,Grand Permata Hijau Hotel,Lodging,Zona 1 (Baros/Jalur),UNDER_5,4.2,1450,4.2,2023,Sukabumi Kota,"Jl. Bhayangkara No.46, Gunungpuyuh, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43123",OK,ZONE_FALLBACK
65,Taman Sari Hotel & Resort,Lodging,Zona 5 (Timur/Utara),UNDER_5,4.4,2100,4.4,3352,Sukabumi Kota,"Jl. Surya Kencana No.112, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,REVIEW_CLAIM_2100_AKTUAL_3352
66,Balcony Hotel,Lodging,Zona 1 (Baros/Jalur),UNDER_5,4.4,1890,4.4,2255,Sukabumi Kota,"Jl. Selabintana No.35, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43151",OK,ZONE_FALLBACK
67,Homestay D'mutiara Sukabumi,Lodging,Zona 1 (Baros/Jalur),UNDER_5,4.5,320,4.5,113,Sukabumi Kab,"Jl. Selakopi-Cijengkol, RT.07/RW.004, Lembursawah, Kec. Cicantayan, Kabupaten Sukabumi, Jawa Barat 43155",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_320_AKTUAL_113
68,Tikungan Indah Guest House,Lodging,Zona 1 (Baros/Jalur),UNDER_5,4.5,275,4.5,38,Sukabumi Kota,"Jl. Bhayangkara No.171, Karamat, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43123",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_275_AKTUAL_38
69,Horison Sukabumi,Lodging,Zona 3 (Pusat Selatan),UNDER_5,4.6,3200,4.6,5864,Sukabumi Kota,"Jl. Siliwangi No.68, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,REVIEW_CLAIM_3200_AKTUAL_5864
70,The Bountie Hotels and Convention Center Sukabumi,Lodging,Zona 3 (Pusat Selatan),UNDER_5,4.6,2850,4.6,5696,Sukabumi Kab,"Jl. Siliwangi No.90, Cikole, Kec. Cikole, Kabupaten Sukabumi, Jawa Barat 43113",REVIEW_OFF,REVIEW_CLAIM_2850_AKTUAL_5696
71,Firma Guest House,Lodging,Zona 1 (Baros/Jalur),UNDER_5,4.6,410,4.6,188,Sukabumi Kota,"Jl. Sriwidari No.5, Sriwidari, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43111",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_410_AKTUAL_188
72,Anugrah Alam Homestay,Lodging,Zona 1 (Baros/Jalur),UNDER_5,4.7,530,4.7,78,Sukabumi Kota,"Jl. Cipelang Leutik No.II/3, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_530_AKTUAL_78
73,Vimi - villa sukabumi,Lodging,Zona 1 (Baros/Jalur),UNDER_5,4.7,215,4.7,9,Sukabumi Kota,"Jl. Sawahbera No.99, RT.003/RW.004, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_215_AKTUAL_9|GENERIC_QUERY_RESULT
74,Kampoeng Kita,Lodging,Zona 1 (Baros/Jalur),UNDER_5,4.7,340,4.7,43,Sukabumi Kab,"Cibentang, Kec. Gn. Guruh, Kabupaten Sukabumi, Jawa Barat 43156",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_340_AKTUAL_43
75,Homestay WS Sukabumi,Lodging,Zona 1 (Baros/Jalur),UNDER_5,4.9,250,4.9,70,Sukabumi Kab,"3VWR+J8, Nagrak, Kec. Nagrak, Kabupaten Sukabumi, Jawa Barat 43132",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_250_AKTUAL_70
76,Amsberg villa at Selabintana,Lodging,Zona 5 (Timur/Utara),UNDER_5,4.9,210,4.9,178,Sukabumi Kab,"Jl. Selabintana No.KM. 6.36, Perbawati, Kab. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151",OK,
77,DCT Homestay Sukabumi,Lodging,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,65,5,24,Sukabumi Kab,"Grand Lapalma Estate, Cluster Edelweis No.GA 11, Sudajaya Girang, Kab. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_65_AKTUAL_24
78,Qiai Guest House Sukabumi,Lodging,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,110,5,870,Sukabumi Kota,"Gg. H. Tarpi Jl. Pelda Suryanta, Nanggeleng, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43145",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_110_AKTUAL_870
79,SILVIA GUEST HOUSE,Lodging,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,88,5,2,Sukabumi Kota,"Jl. Lio Santa, ASEM, Sudajaya Hilir, Kec. Baros, Kota Sukabumi, Jawa Barat 43161",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_88_AKTUAL_2|GENERIC_QUERY_RESULT
80,Adiza Guest House,Lodging,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,45,5,6,Sukabumi Kota,"Graha Taman Sukabumi Blk. C No.4, Karamat, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43122",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_45_AKTUAL_6
81,De Haus Villa Syariah - Subang Jaya,Lodging,Zona 5 (Timur/Utara),HIGH_LOW_REV,5,32,5,37,Sukabumi Kab,"Perumahan Subang Jaya Village, Jl. Melati 1 No.10 Blok D, RT.6/RW.3, Sukajaya, Kab. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151",OK,
82,Villa Mochi Classic Sukabumi,Lodging,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,15,5,21,Lainnya/Tidak jelas,"Vila · Grand panorama residence, Jl. Selabintana No.1 blok E2",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|GENERIC_QUERY_RESULT
83,Apotek Utari,Health,Zona 1 (Baros/Jalur),UNDER_5,1,12,1,2,Bandung,"Jl. Sukabumi No.38, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat 40271",WRONG_CITY,ZONE_FALLBACK|WRONG_CITY_BANDUNG
84,Apotek indo Medika,Health,Zona 1 (Baros/Jalur),UNDER_5,4.1,85,4.1,122,Sukabumi Kota,"Jl. Rumah Sakit No.8, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",OK,ZONE_FALLBACK
85,Labkesda Kota Sukabumi,Health,Zona 1 (Baros/Jalur),UNDER_5,4.4,140,4.4,89,Sukabumi Kota,Labkesda Kota Sukabumi,OK,ZONE_FALLBACK
86,KLINIK JALUR FARMA,Health,Zona 1 (Baros/Jalur),UNDER_5,4.5,320,4.5,826,Sukabumi Kota,"Jl. Pelabuhan II No.463, Sindangsari, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43134",REVIEW_OFF,REVIEW_CLAIM_320_AKTUAL_826
