id,nama,kategori,zona,strategi,telepon,tipe,rating,reviews,maps_url
34,"Nadifa Clinic Sukabumi","Beauty","Zona 6 (Ekspedisi Wisata)","UNDER_5",082277773576,mobile,4.9,88,"https://www.google.com/maps/search/?api=1&query=Nadifa%20Clinic%20Sukabumi"
35,"Calysta skin care clinic","Beauty","Zona 4 (Jantung Kota)","UNDER_5",085883422233,mobile,4.9,147,"https://www.google.com/maps/search/?api=1&query=Calysta%20skin%20care%20clinic%20Sukabumi"
36,"ARSENIO SALON","Beauty","Zona 4 (Jantung Kota)","HIGH_LOW_REV",081111115517,mobile,5,223,"https://www.google.com/maps/search/?api=1&query=ARSENIO%20SALON%20Sukabumi"
37,"Pixel Barbershop Cipanengah","Beauty","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",085122575661,mobile,5,1320,"https://www.google.com/maps/search/?api=1&query=Pixel%20Barbershop%20Cipanengah%20Sukabumi"
38,"Blackburn Barbershop - Sukabumi Branch","Beauty","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",085183119400,mobile,5,2764,"https://www.google.com/maps/search/?api=1&query=Blackburn%20Barbershop%20-%20Sukabumi%20Branch"
39,"Pixel Barbershop Ciaul","Beauty","Zona 5 (Timur/Utara)","HIGH_LOW_REV",085692515300,mobile,5,3672,"https://www.google.com/maps/search/?api=1&query=Pixel%20Barbershop%20Ciaul%20Sukabumi"
40,"SERENITY SPA","Beauty","Zona 3 (Pusat Selatan)","HIGH_LOW_REV",085692712344,mobile,5,28,"https://www.google.com/maps/search/?api=1&query=SERENITY%20SPA%20Sukabumi"
41,"Aida Spa & Massage","Beauty","Zona 2 (Cisaat/Cibadak)","HIGH_LOW_REV",089604423244,mobile,5,1,"https://www.google.com/maps/search/?api=1&query=Aida%20Spa%20%26%20Massage%20Sukabumi"
42,"Natasha Skin Clinic Sukabumi","Beauty","Zona 4 (Jantung Kota)","HIGH_LOW_REV",02666250788,landline,5,938,"https://www.google.com/maps/search/?api=1&query=Natasha%20Skin%20Clinic%20Sukabumi"
43,"Ella Skincare Sukabumi","Beauty","Zona 4 (Jantung Kota)","HIGH_LOW_REV",,,5,493,"https://www.google.com/maps/search/?api=1&query=Ella%20Skincare%20Sukabumi"
44,"Hoki Motor sukabumi","Automotive","Zona 4 (Jantung Kota)","UNDER_5",0266222709,landline,4.3,106,"https://www.google.com/maps/search/?api=1&query=Hoki%20Motor%20sukabumi"
45,"Cuci Steam Mobil & Motor 24 jam","Automotive","Zona 1 (Baros/Jalur)","UNDER_5",,,4.3,711,"https://www.google.com/maps/search/?api=1&query=Cuci%20Steam%20Mobil%20%26%20Motor%2024%20jam%20Sukabumi"
46,"Baros Jaya Motor","Automotive","Zona 1 (Baros/Jalur)","UNDER_5",0266223419,landline,4.4,388,"https://www.google.com/maps/search/?api=1&query=Baros%20Jaya%20Motor%20Sukabumi"
47,"Inti Prima Motor","Automotive","Zona 3 (Pusat Selatan)","UNDER_5",08159860099,mobile,4.4,167,"https://www.google.com/maps/search/?api=1&query=Inti%20Prima%20Motor%20Sukabumi"
48,"lulu motor","Automotive","Zona 1 (Baros/Jalur)","UNDER_5",08156296746,mobile,4.4,77,"https://www.google.com/maps/search/?api=1&query=lulu%20motor%20Sukabumi"
49,"Jaya Motor","Automotive","Zona 1 (Baros/Jalur)","UNDER_5",0266235167,landline,4.4,89,"https://www.google.com/maps/search/?api=1&query=Jaya%20Motor%20Sukabumi"
50,"Rey Motor Sukabumi","Automotive","Zona 1 (Baros/Jalur)","UNDER_5",081313595556,mobile,4.4,34,"https://www.google.com/maps/search/?api=1&query=Rey%20Motor%20Sukabumi"
51,"Hars Motor","Automotive","Zona 4 (Jantung Kota)","UNDER_5",08970777798,mobile,4.5,364,"https://www.google.com/maps/search/?api=1&query=Hars%20Motor%20Sukabumi"
52,"Cipendawa Motor lll","Automotive","Zona 1 (Baros/Jalur)","UNDER_5",02666252866,landline,4.5,209,"https://www.google.com/maps/search/?api=1&query=Cipendawa%20Motor%20lll%20Sukabumi"
53,"Buana Raya Service - Auto Service Center","Automotive","Zona 1 (Baros/Jalur)","UNDER_5",0266233111,landline,4.6,139,"https://www.google.com/maps/search/?api=1&query=Buana%20Raya%20Service%20-%20Auto%20Service%20Center%20Sukabumi"
54,"Central Carwash Sukabumi","Automotive","Zona 4 (Jantung Kota)","UNDER_5",,,4.6,45,"https://www.google.com/maps/search/?api=1&query=Central%20Carwash%20Sukabumi"
55,"Ratu Motor","Automotive","Zona 4 (Jantung Kota)","UNDER_5",085724252554,mobile,4.6,77,"https://www.google.com/maps/search/?api=1&query=Ratu%20Motor%20Sukabumi"
56,"CV.KINGKING MOTOR","Automotive","Zona 5 (Timur/Utara)","UNDER_5",083818111515,mobile,4.6,692,"https://www.google.com/maps/search/?api=1&query=CV.KINGKING%20MOTOR%20Sukabumi"
57,"SHOWNGARAGE ( CAR WASH )","Automotive","Zona 6 (Ekspedisi Wisata)","UNDER_5",087820609010,mobile,4.7,69,"https://www.google.com/maps/search/?api=1&query=SHOWNGARAGE%20(%20CAR%20WASH%20)%20Sukabumi"
58,"CV ZIED AUTO SERVICE","Automotive","Zona 3 (Pusat Selatan)","UNDER_5",085864541100,mobile,4.8,114,"https://www.google.com/maps/search/?api=1&query=CV%20ZIED%20AUTO%20SERVICE%20Sukabumi"
59,"Bengkel motor sukabumi","Automotive","Zona 4 (Jantung Kota)","UNDER_5",0266222709,landline,4.3,106,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20sukabumi"
60,"Toko Jati Raya Motor","Automotive","Zona 5 (Timur/Utara)","UNDER_5",0266216327,landline,4.8,31,"https://www.google.com/maps/search/?api=1&query=Toko%20Jati%20Raya%20Motor%20Sukabumi"
61,"Green_wash Cuci Mobil & Motor","Automotive","Zona 1 (Baros/Jalur)","UNDER_5",085848800695,mobile,4.9,101,"https://www.google.com/maps/search/?api=1&query=Green_wash%20Cuci%20Mobil%20%26%20Motor%20Sukabumi"
62,"RBM (RumahBengkelMotor)","Automotive","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",,,5,27,"https://www.google.com/maps/search/?api=1&query=RBM%20(RumahBengkelMotor)%20Sukabumi"
63,"AH MASTER WASH (cuci garansi hujan)","Automotive","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",085775035410,mobile,5,20,"https://www.google.com/maps/search/?api=1&query=AH%20MASTER%20WASH%20(cuci%20garansi%20hujan)%20Sukabumi"
64,"Grand Permata Hijau Hotel","Lodging","Zona 3 (Pusat Selatan)","UNDER_5",0811114412,mobile,4.2,2023,"https://www.google.com/maps/search/?api=1&query=Grand%20Permata%20Hijau%20Hotel%20Sukabumi"
65,"Taman Sari Hotel & Resort","Lodging","Zona 5 (Timur/Utara)","UNDER_5",0266211457,landline,4.4,3352,"https://www.google.com/maps/search/?api=1&query=Taman%20Sari%20Hotel%20%26%20Resort%20Sukabumi"
66,"Balcony Hotel","Lodging","Zona 5 (Timur/Utara)","UNDER_5",0266211665,landline,4.4,2255,"https://www.google.com/maps/search/?api=1&query=Balcony%20Hotel%20Sukabumi"
67,"Homestay D'mutiara Sukabumi","Lodging","Zona 4 (Jantung Kota)","UNDER_5",081383514364,mobile,4.5,113,"https://www.google.com/maps/search/?api=1&query=Homestay%20D'mutiara%20Sukabumi"
68,"Tikungan Indah Guest House","Lodging","Zona 3 (Pusat Selatan)","UNDER_5",085283561431,mobile,4.5,38,"https://www.google.com/maps/search/?api=1&query=Tikungan%20Indah%20Guest%20House%20Sukabumi"
69,"Horison Sukabumi","Lodging","Zona 4 (Jantung Kota)","UNDER_5",0266223311,landline,4.6,5864,"https://www.google.com/maps/search/?api=1&query=Horison%20Sukabumi"
70,"The Bountie Hotels and Convention Center Sukabumi","Lodging","Zona 4 (Jantung Kota)","UNDER_5",0266221900,landline,4.6,5697,"https://www.google.com/maps/search/?api=1&query=The%20Bountie%20Hotels%20and%20Convention%20Center%20Sukabumi"
71,"Firma Guest House","Lodging","Zona 3 (Pusat Selatan)","UNDER_5",085722293332,mobile,4.6,188,"https://www.google.com/maps/search/?api=1&query=Firma%20Guest%20House%20Sukabumi"
72,"Anugrah Alam Homestay","Lodging","Zona 4 (Jantung Kota)","UNDER_5",085723292378,mobile,4.7,78,"https://www.google.com/maps/search/?api=1&query=Anugrah%20Alam%20Homestay%20Sukabumi"
73,"Vimi - villa sukabumi","Lodging","Zona 1 (Baros/Jalur)","UNDER_5",081399978636,mobile,4.7,9,"https://www.google.com/maps/search/?api=1&query=Vimi%20-%20villa%20sukabumi"
74,"Kampoeng Kita","Lodging","Zona 4 (Jantung Kota)","UNDER_5",081219167664,mobile,4.7,43,"https://www.google.com/maps/search/?api=1&query=Kampoeng%20Kita%20Sukabumi"
75,"Homestay WS Sukabumi","Lodging","Zona 2 (Cisaat/Cibadak)","UNDER_5",081281222254,mobile,4.9,70,"https://www.google.com/maps/search/?api=1&query=Homestay%20WS%20Sukabumi"
76,"Amsberg villa at Selabintana","Lodging","Zona 5 (Timur/Utara)","UNDER_5",08164820284,mobile,4.9,178,"https://www.google.com/maps/search/?api=1&query=Amsberg%20villa%20at%20Selabintana%20Sukabumi"
77,"DCT Homestay Sukabumi","Lodging","Zona 4 (Jantung Kota)","HIGH_LOW_REV",082312309669,mobile,5,24,"https://www.google.com/maps/search/?api=1&query=DCT%20Homestay%20Sukabumi"
78,"Qiai Guest House Sukabumi","Lodging","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",082210001248,mobile,5,870,"https://www.google.com/maps/search/?api=1&query=Qiai%20Guest%20House%20Sukabumi"
79,"SILVIA GUEST HOUSE","Lodging","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",085862574816,mobile,5,2,"https://www.google.com/maps/search/?api=1&query=SILVIA%20GUEST%20HOUSE%20Sukabumi"
80,"Adiza Guest House","Lodging","Zona 3 (Pusat Selatan)","HIGH_LOW_REV",087823427024,mobile,5,6,"https://www.google.com/maps/search/?api=1&query=Adiza%20Guest%20House%20Sukabumi"
81,"De Haus Villa Syariah - Subang Jaya","Lodging","Zona 5 (Timur/Utara)","HIGH_LOW_REV",081346603366,mobile,5,37,"https://www.google.com/maps/search/?api=1&query=De%20Haus%20Villa%20Syariah%20-%20Subang%20Jaya"
82,"Villa Mochi Classic Sukabumi","Lodging","Zona 5 (Timur/Utara)","HIGH_LOW_REV",085770217184,mobile,5,15,"https://www.google.com/maps/search/?api=1&query=Villa%20Mochi%20Classic%20Sukabumi"
83,"APOTEK AFIAT FARMA SUKABUMI","Health","Zona 3 (Pusat Selatan)","UNDER_5",0895397218431,mobile,4.8,22,"https://www.google.com/maps/search/?api=1&query=Apotek%20Afiat%20Farma%20Sukabumi"
84,"Apotek indo Medika","Health","Zona 4 (Jantung Kota)","UNDER_5",085877771000,mobile,4.1,122,"https://www.google.com/maps/search/?api=1&query=Apotek%20indo%20Medika%20Sukabumi"
85,"Labkesda Kota Sukabumi","Health","Zona 4 (Jantung Kota)","UNDER_5",085863416546,mobile,4.4,89,"https://www.google.com/maps/search/?api=1&query=Labkesda%20Kota%20Sukabumi"
86,"KLINIK JALUR FARMA","Health","Zona 1 (Baros/Jalur)","UNDER_5",0266210909,landline,4.5,826,"https://www.google.com/maps/search/?api=1&query=KLINIK%20JALUR%20FARMA%20Sukabumi"
87,"Kimia Farma Sukabumi","Health","Zona 4 (Jantung Kota)","UNDER_5",08111169730,mobile,3.7,176,"https://www.google.com/maps/search/?api=1&query=Kimia%20Farma%20Sukabumi"
88,"Laboratorium Klinik Vita Medika","Health","Zona 4 (Jantung Kota)","UNDER_5",08562041781,mobile,4.6,12,"https://www.google.com/maps/search/?api=1&query=Laboratorium%20Klinik%20Vita%20Medika%20Sukabumi"
89,"Primaya Hospital Sukabumi","Health","Zona 6 (Ekspedisi Wisata)","UNDER_5",,,4.7,1362,"https://www.google.com/maps/search/?api=1&query=Primaya%20Hospital%20Sukabumi"
90,"Klinik Pratama Jasalab","Health","Zona 4 (Jantung Kota)","UNDER_5",,,4.7,55,"https://www.google.com/maps/search/?api=1&query=Klinik%20Pratama%20Jasalab%20Sukabumi"
91,"praktik dokter keluarga dr kamal & dr dini","Health","Zona 4 (Jantung Kota)","UNDER_5",0895808892255,mobile,4.8,19,"https://www.google.com/maps/search/?api=1&query=praktik%20dokter%20keluarga%20dr%20kamal%20%26%20dr%20dini%20Sukabumi"
92,"Prodia Sukabumi","Health","Zona 1 (Baros/Jalur)","UNDER_5",,,4.8,99,"https://www.google.com/maps/search/?api=1&query=Prodia%20Sukabumi"
93,"Apotek Mitra Husada","Health","Zona 4 (Jantung Kota)","UNDER_5",081281173697,mobile,4.9,777,"https://www.google.com/maps/search/?api=1&query=Apotek%20Mitra%20Husada%20Sukabumi"
94,"KLINIK PRATAMA WALUYA SEJATI ABADI SUKABUMI","Health","Zona 1 (Baros/Jalur)","UNDER_5",081233000810,mobile,4.9,37,"https://www.google.com/maps/search/?api=1&query=KLINIK%20PRATAMA%20WALUYA%20SEJATI%20ABADI%20SUKABUMI"
95,"Klinik Holistic Natural Insani Sukabumi","Health","Zona 1 (Baros/Jalur)","UNDER_5",0895405669662,mobile,4.9,248,"https://www.google.com/maps/search/?api=1&query=Klinik%20Holistic%20Natural%20Insani%20Sukabumi"
96,"Bening's Clinic Sukabumi","Health","Zona 1 (Baros/Jalur)","UNDER_5",081290393636,mobile,4.9,141,"https://www.google.com/maps/search/?api=1&query=Bening's%20Clinic%20Sukabumi"
97,"Apotek Ciaul Sukabumi","Health","Zona 5 (Timur/Utara)","UNDER_5",081911901978,mobile,4.9,15,"https://www.google.com/maps/search/?api=1&query=Apotek%20Ciaul%20Sukabumi"
98,"Klinik Obat Dokter Amelia Di Sukabumi","Health","Zona 4 (Jantung Kota)","HIGH_LOW_REV",,,5,2,"https://www.google.com/maps/search/?api=1&query=Klinik%20Obat%20Dokter%20Amelia%20Di%20Sukabumi"
99,"KHITAN SUKABUMI CIPOHO MEDIKA","Health","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",085723366647,mobile,5,94,"https://www.google.com/maps/search/?api=1&query=KHITAN%20SUKABUMI%20CIPOHO%20MEDIKA"
100,"APOTEK LARAS SUKABUMI","Health","Zona 3 (Pusat Selatan)","HIGH_LOW_REV",081563628494,mobile,5,142,"https://www.google.com/maps/search/?api=1&query=APOTEK%20LARAS%20SUKABUMI"
101,"Apotek Cikole Sukabumi","Health","Zona 4 (Jantung Kota)","HIGH_LOW_REV",085198673905,mobile,5,90,"https://www.google.com/maps/search/?api=1&query=Apotek%20Cikole%20Sukabumi"
102,"Ardin Teknik Sukabumi","Services","Zona 4 (Jantung Kota)","UNDER_5",081573506053,mobile,4.6,52,"https://www.google.com/maps/search/?api=1&query=Ardin%20Teknik%20Sukabumi"
103,"Lavandera Laundry","Services","Zona 3 (Pusat Selatan)","UNDER_5",02666220041,landline,4.7,169,"https://www.google.com/maps/search/?api=1&query=Lavandera%20Laundry%20Sukabumi"
104,"Lumire Laundry Sukabumi","Services","Zona 1 (Baros/Jalur)","UNDER_5",082310001701,mobile,4.9,181,"https://www.google.com/maps/search/?api=1&query=Lumire%20Laundry%20Sukabumi"
105,"SERVICE AC SUKABUMI SIGMA TECHNIQUE","Services","Zona 3 (Pusat Selatan)","UNDER_5",085861474745,mobile,4.9,161,"https://www.google.com/maps/search/?api=1&query=SERVICE%20AC%20SUKABUMI%20SIGMA%20TECHNIQUE"
106,"Buana Jaya Mandiri Ac 1","Services","Zona 2 (Cisaat/Cibadak)","UNDER_5",081280338322,mobile,4.9,288,"https://www.google.com/maps/search/?api=1&query=Buana%20Jaya%20Mandiri%20Ac%201%20Sukabumi"
107,"SERVICE KULKAS SUKABUMI","Services","Zona 4 (Jantung Kota)","UNDER_5",081563623888,mobile,4.9,100,"https://www.google.com/maps/search/?api=1&query=SERVICE%20KULKAS%20SUKABUMI"
108,"Service mesin cuci Sukabumi","Services","Zona 2 (Cisaat/Cibadak)","UNDER_5",081563623888,mobile,4.9,32,"https://www.google.com/maps/search/?api=1&query=Service%20mesin%20cuci%20Sukabumi"
109,"Amani Laundry Terdekat Sukabumi","Services","Zona 2 (Cisaat/Cibadak)","UNDER_5",085719273592,mobile,4.8,157,"https://www.google.com/maps/search/?api=1&query=Amani%20Laundry%20Terdekat%20Sukabumi"
110,"Sukabumi Laundry Cabang Cisaat","Services","Zona 2 (Cisaat/Cibadak)","HIGH_LOW_REV",085774060793,mobile,5,23,"https://www.google.com/maps/search/?api=1&query=Sukabumi%20Laundry%20Cabang%20Cisaat"
111,"AA LAUNDRY Sukabumi","Services","Zona 4 (Jantung Kota)","HIGH_LOW_REV",088223051997,mobile,5,104,"https://www.google.com/maps/search/?api=1&query=AA%20LAUNDRY%20Sukabumi"
112,"MEGA CEMERLANG SUKABUMI","Services","Zona 6 (Ekspedisi Wisata)","HIGH_LOW_REV",085215831236,mobile,5,5,"https://www.google.com/maps/search/?api=1&query=MEGA%20CEMERLANG%20SUKABUMI"
113,"Bersih.in WearCare Sukabumi","Services","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",085187975225,mobile,5,221,"https://www.google.com/maps/search/?api=1&query=Bersih.in%20WearCare%20Sukabumi"
114,"ADAVA LAUNDRY Sukabumi","Services","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",085759638151,mobile,5,96,"https://www.google.com/maps/search/?api=1&query=ADAVA%20LAUNDRY%20Sukabumi"
115,"SERVICE AC SUKABUMI Alteknik","Services","Zona 6 (Ekspedisi Wisata)","HIGH_LOW_REV",081383590065,mobile,5,8,"https://www.google.com/maps/search/?api=1&query=SERVICE%20AC%20SUKABUMI%20Alteknik"
116,"Utama teknik Sukabumi","Services","Zona 6 (Ekspedisi Wisata)","HIGH_LOW_REV",083834727229,mobile,5,12,"https://www.google.com/maps/search/?api=1&query=Utama%20teknik%20Sukabumi"
117,"BIAN SUMUR BOR SUKABUMI","Services","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",085715183235,mobile,5,4,"https://www.google.com/maps/search/?api=1&query=BIAN%20SUMUR%20BOR%20SUKABUMI"
118,"Sumur Bor Sukabumi Pak Darmi","Services","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",085798171996,mobile,5,24,"https://www.google.com/maps/search/?api=1&query=Sumur%20Bor%20Sukabumi%20Pak%20Darmi"
119,"Servis elektronik sukabumi","Services","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",081563171152,mobile,5,1,"https://www.google.com/maps/search/?api=1&query=Servis%20elektronik%20sukabumi"
120,"VANSERVIS Sukabumi","Services","Zona 4 (Jantung Kota)","UNDER_5",0266233111,landline,4.6,139,"https://www.google.com/maps/search/?api=1&query=VANSERVIS%20Sukabumi"
121,"LJL SERVICE Sukabumi","Services","Zona 4 (Jantung Kota)","HIGH_LOW_REV",085891241001,mobile,5,8,"https://www.google.com/maps/search/?api=1&query=LJL%20SERVICE%20Sukabumi"
122,"Cambridge Institute Sukabumi","Education","Zona 3 (Pusat Selatan)","UNDER_5",,,4.4,21,"https://www.google.com/maps/search/?api=1&query=Cambridge%20Institute%20Sukabumi"
123,"Little Angels Learning Center Sukabumi","Education","Zona 4 (Jantung Kota)","UNDER_5",02667162388,landline,4.8,5,"https://www.google.com/maps/search/?api=1&query=Little%20Angels%20Learning%20Center%20Sukabumi"
124,"Tunas Permata Bangsa Sukabumi","Education","Zona 6 (Ekspedisi Wisata)","UNDER_5",085793658585,mobile,4.9,124,"https://www.google.com/maps/search/?api=1&query=Tunas%20Permata%20Bangsa%20Sukabumi"
125,"Bimbel ILC Sukabumi","Education","Zona 2 (Cisaat/Cibadak)","UNDER_5",085263208092,mobile,4.9,28,"https://www.google.com/maps/search/?api=1&query=Bimbel%20ILC%20Sukabumi"
126,"LPK GPB Sukabumi","Education","Zona 1 (Baros/Jalur)","UNDER_5",085798810002,mobile,4.9,254,"https://www.google.com/maps/search/?api=1&query=LPK%20GPB%20Sukabumi"
127,"Brain Academy Ruangguru Sukabumi","Education","Zona 3 (Pusat Selatan)","HIGH_LOW_REV",085215899714,mobile,5,45,"https://www.google.com/maps/search/?api=1&query=Brain%20Academy%20Ruangguru%20Sukabumi"
128,"Math Champs Sukabumi","Education","Zona 3 (Pusat Selatan)","HIGH_LOW_REV",081212229300,mobile,5,24,"https://www.google.com/maps/search/?api=1&query=Math%20Champs%20Sukabumi"
129,"Ganesha Operation Ra Kosasih Sukabumi","Education","Zona 5 (Timur/Utara)","HIGH_LOW_REV",08112386324,mobile,5,432,"https://www.google.com/maps/search/?api=1&query=Ganesha%20Operation%20Ra%20Kosasih%20Sukabumi"
